Trouble polygons for Grounding: 2
Ant_island_337.txt : Outside Grounding polygon
Ant_island_338.txt : Outside Grounding polygon
Ant_island_339.txt : Outside Grounding polygon
Ant_island_340.txt : Outside Grounding polygon
Ant_island_341.txt : Outside Grounding polygon
Ant_island_342.txt : Outside Grounding polygon
Ant_island_343.txt : Outside Grounding polygon
Ant_island_344.txt : Outside Grounding polygon
Ant_island_345.txt : Outside Grounding polygon
Ant_island_346.txt : Outside Grounding polygon
Ant_island_347.txt : Outside Grounding polygon
Ant_island_348.txt : Outside Grounding polygon
Ant_island_349.txt : Outside Grounding polygon
Ant_island_350.txt : Outside Grounding polygon
Ant_island_351.txt : Outside Grounding polygon
Ant_island_352.txt : Outside Grounding polygon
Ant_island_353.txt : Outside Grounding polygon
Ant_island_354.txt : Outside Grounding polygon
Ant_island_355.txt : Outside Grounding polygon
Ant_island_356.txt : Outside Grounding polygon
Ant_island_357.txt : Outside Grounding polygon
Ant_island_358.txt : Outside Grounding polygon
Ant_island_359.txt : Outside Grounding polygon
Ant_island_360.txt : Outside Grounding polygon
Ant_island_361.txt : Outside Grounding polygon
Ant_island_362.txt : Outside Grounding polygon
Ant_island_363.txt : Outside Grounding polygon
Ant_island_364.txt : Outside Grounding polygon
Ant_island_365.txt : Outside Grounding polygon
Ant_island_366.txt : Outside Grounding polygon
Ant_island_367.txt : Outside Grounding polygon
Ant_island_368.txt : Outside Grounding polygon
Ant_island_369.txt : Outside Grounding polygon
Ant_island_370.txt : Outside Grounding polygon
Ant_island_371.txt : Outside Grounding polygon
Ant_island_372.txt : Outside Grounding polygon
Ant_island_373.txt : Outside Grounding polygon
Ant_island_374.txt : Outside Grounding polygon
Ant_island_375.txt : Outside Grounding polygon
Ant_island_376.txt : Outside Grounding polygon
Ant_island_377.txt : Outside Grounding polygon
Ant_island_378.txt : Outside Grounding polygon
Ant_island_379.txt : Outside Grounding polygon
Ant_island_380.txt : Outside Grounding polygon
Ant_island_381.txt : Outside Grounding polygon
Ant_island_382.txt : Outside Grounding polygon
Ant_island_383.txt : Outside Grounding polygon
Ant_island_384.txt : Outside Grounding polygon
Ant_island_385.txt : Outside Grounding polygon
Ant_island_386.txt : Outside Grounding polygon
Ant_island_387.txt : Outside Grounding polygon
Ant_island_388.txt : Outside Grounding polygon
Ant_island_389.txt : Outside Grounding polygon
Ant_island_390.txt : Outside Grounding polygon
Ant_island_391.txt : Outside Grounding polygon
Ant_island_392.txt : Outside Grounding polygon
Ant_island_393.txt : Outside Grounding polygon
Ant_island_394.txt : Outside Grounding polygon
Ant_island_395.txt : Outside Grounding polygon
Ant_island_396.txt : Outside Grounding polygon
Ant_island_397.txt : Outside Grounding polygon
Ant_island_398.txt : Outside Grounding polygon
Ant_island_399.txt : Outside Grounding polygon
Ant_island_400.txt : Outside Grounding polygon
Ant_island_401.txt : Outside Grounding polygon
Ant_island_402.txt : Outside Grounding polygon
Ant_island_403.txt : Outside Grounding polygon
Ant_island_404.txt : Outside Grounding polygon
Ant_island_405.txt : Outside Grounding polygon
Ant_island_406.txt : Outside Grounding polygon
Ant_island_407.txt : Outside Grounding polygon
Ant_island_408.txt : Outside Grounding polygon
Ant_island_409.txt : Outside Grounding polygon
Ant_island_410.txt : Outside Grounding polygon
Ant_island_411.txt : Outside Grounding polygon
Ant_island_412.txt : Outside Grounding polygon
Ant_island_413.txt : Outside Grounding polygon
Ant_island_414.txt : Outside Grounding polygon
Ant_island_415.txt : Outside Grounding polygon
Ant_island_416.txt : Outside Grounding polygon
Ant_island_417.txt : Outside Grounding polygon
Ant_island_418.txt : Outside Grounding polygon
Ant_island_419.txt : Outside Grounding polygon
Ant_island_420.txt : Outside Grounding polygon
Ant_island_421.txt : Outside Grounding polygon
Ant_island_422.txt : Outside Grounding polygon
Ant_island_423.txt : Outside Grounding polygon
Ant_island_424.txt : Outside Grounding polygon
Ant_island_425.txt : Outside Grounding polygon
Ant_island_426.txt : Outside Grounding polygon
Ant_island_427.txt : Outside Grounding polygon
Ant_island_428.txt : Outside Grounding polygon
Ant_island_429.txt : Outside Grounding polygon
Ant_island_430.txt : Outside Grounding polygon
Ant_island_431.txt : Outside Grounding polygon
Ant_island_432.txt : Outside Grounding polygon
Ant_island_433.txt : Outside Grounding polygon
Ant_island_434.txt : Outside Grounding polygon
Ant_island_435.txt : Outside Grounding polygon
Ant_island_436.txt : Outside Grounding polygon
Ant_island_437.txt : Outside Grounding polygon
Ant_island_438.txt : Outside Grounding polygon
Ant_island_439.txt : Outside Grounding polygon
Ant_island_440.txt : Outside Grounding polygon
Ant_island_441.txt : Outside Grounding polygon
Ant_island_442.txt : Outside Grounding polygon
Ant_island_443.txt : Outside Grounding polygon
Ant_island_444.txt : Outside Grounding polygon
Ant_island_445.txt : Outside Grounding polygon
Ant_island_446.txt : Outside Grounding polygon
Ant_island_447.txt : Outside Grounding polygon
Ant_island_448.txt : Outside Grounding polygon
Ant_island_449.txt : Outside Grounding polygon
Ant_island_450.txt : Outside Grounding polygon
Ant_island_451.txt : Outside Grounding polygon
Ant_island_452.txt : Outside Grounding polygon
Ant_island_453.txt : Outside Grounding polygon
Ant_island_454.txt : Outside Grounding polygon
Ant_island_455.txt : Outside Grounding polygon
Ant_island_456.txt : Outside Grounding polygon
Ant_island_457.txt : Outside Grounding polygon
Ant_island_458.txt : Outside Grounding polygon
Ant_island_459.txt : Outside Grounding polygon
Ant_island_460.txt : Outside Grounding polygon
Ant_island_461.txt : Outside Grounding polygon
Ant_island_462.txt : Outside Grounding polygon
Ant_island_463.txt : Outside Grounding polygon
Ant_island_464.txt : Outside Grounding polygon
Ant_island_465.txt : Outside Grounding polygon
Ant_island_466.txt : Outside Grounding polygon
Ant_island_467.txt : Outside Grounding polygon
Ant_island_468.txt : Outside Grounding polygon
Ant_island_469.txt : Outside Grounding polygon
Ant_island_470.txt : Outside Grounding polygon
Ant_island_471.txt : Outside Grounding polygon
Ant_island_472.txt : Outside Grounding polygon
Ant_island_473.txt : Outside Grounding polygon
Ant_island_474.txt : Outside Grounding polygon
Ant_island_475.txt : Outside Grounding polygon
Ant_island_476.txt : Outside Grounding polygon
Ant_island_477.txt : Outside Grounding polygon
Ant_island_478.txt : Outside Grounding polygon
Ant_island_479.txt : Outside Grounding polygon
Ant_island_480.txt : Outside Grounding polygon
Ant_island_481.txt : Outside Grounding polygon
Ant_island_482.txt : Outside Grounding polygon
Ant_island_483.txt : Outside Grounding polygon
Ant_island_484.txt : Outside Grounding polygon
Ant_island_485.txt : Outside Grounding polygon
Ant_island_486.txt : Outside Grounding polygon
Ant_island_487.txt : Outside Grounding polygon
Ant_island_488.txt : Outside Grounding polygon
Ant_island_489.txt : Outside Grounding polygon
Ant_island_490.txt : Outside Grounding polygon
Ant_island_491.txt : Outside Grounding polygon
Ant_island_492.txt : Outside Grounding polygon
Ant_island_493.txt : Outside Grounding polygon
Ant_island_494.txt : Outside Grounding polygon
Ant_island_495.txt : Outside Grounding polygon
Ant_island_496.txt : Outside Grounding polygon
Ant_island_497.txt : Outside Grounding polygon
Ant_island_498.txt : Outside Grounding polygon
Ant_island_499.txt : Outside Grounding polygon
Ant_island_500.txt : Outside Grounding polygon
Ant_island_501.txt : Outside Grounding polygon
Ant_island_502.txt : Outside Grounding polygon
Ant_island_503.txt : Outside Grounding polygon
Ant_island_504.txt : Outside Grounding polygon
Ant_island_505.txt : Outside Grounding polygon
Ant_island_506.txt : Outside Grounding polygon
Ant_island_507.txt : Outside Grounding polygon
Ant_island_508.txt : Outside Grounding polygon
Ant_island_509.txt : Outside Grounding polygon
Ant_island_510.txt : Outside Grounding polygon
Ant_island_511.txt : Outside Grounding polygon
Ant_island_512.txt : Outside Grounding polygon
Ant_island_513.txt : Outside Grounding polygon
Ant_island_514.txt : Outside Grounding polygon
Ant_island_515.txt : Outside Grounding polygon
Ant_island_516.txt : Outside Grounding polygon
Ant_island_517.txt : Outside Grounding polygon
Ant_island_518.txt : Outside Grounding polygon
Ant_island_519.txt : Outside Grounding polygon
Ant_island_520.txt : Outside Grounding polygon
Ant_island_521.txt : Outside Grounding polygon
Ant_island_522.txt : Outside Grounding polygon
Ant_island_523.txt : Outside Grounding polygon
Ant_island_524.txt : Outside Grounding polygon
Ant_island_525.txt : Outside Grounding polygon
Ant_island_526.txt : Outside Grounding polygon
Ant_island_527.txt : Outside Grounding polygon
Ant_island_528.txt : Outside Grounding polygon
Ant_island_529.txt : Outside Grounding polygon
Ant_island_530.txt : Outside Grounding polygon
